"Intersection","Gene","Gene_Function"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00021085","unknown function"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00000613","CFAP65: Cilia- and flagella-associated protein 65 (Gallus gallus)"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00003814","UPF0764 protein C16orf89 homolog (Danio rerio)"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00015591","unknown function"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00015592","Klhl2: Kelch-like protein 2 (Mus musculus)"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00021370","apex1: DNA-(apurinic or apyrimidinic site) lyase (Danio rerio)"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00012906","Ift52: Intraflagellar transport protein 52 homolog (Mus musculus)"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00012914","ppp1r42: Protein phosphatase 1 regulatory subunit 42 (Xenopus laevis)"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00000041","unknown function"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00023622","TTC28: Tetratricopeptide repeat protein 28 (Homo sapiens)"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00005427","FBXW10: F-box/WD repeat-containing protein 10 (Homo sapiens)"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00014057","Ccdc113: Coiled-coil domain-containing protein 113 (Mus musculus)"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00024761","unknown function"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00022033","TXNDC11: Thioredoxin domain-containing protein 11 (Bos taurus)"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00018734","RPGR: X-linked retinitis pigmentosa GTPase regulator (Homo sapiens)"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00006567","unknown function"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00018562","unknown function"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00023059","unknown function"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00020289","DNAAF1: Dynein assembly factor 1%2C axonemal (Bos taurus)"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00003971","Mrps9: 28S ribosomal protein S9%2C mitochondrial (Mus musculus)"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00008722","TUSC2: Tumor suppressor candidate 2 (Homo sapiens)"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00022471","EIF2AK4: eIF-2-alpha kinase GCN2 (Homo sapiens)"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00005965","Ttll10: Protein polyglycylase TTLL10 (Rattus norvegicus)"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00002307","unknown function"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00016624","EFHB: EF-hand domain-containing family member B (Homo sapiens)"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00013359","MTNR1A: Melatonin receptor type 1A (Homo sapiens)"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00017518","SPATS1: Spermatogenesis-associated serine-rich protein 1 (Homo sapiens)"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00013247","elavl3: ELAV-like protein 3 (Xenopus tropicalis)"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00006425","ZC3H10: Zinc finger CCCH domain-containing protein 10 (Homo sapiens)"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00006463","wdr45: WD repeat domain phosphoinositide-interacting protein 4 (Xenopus laevis)"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00016197","AXDND1: Axonemal dynein light chain domain-containing protein 1 (Homo sapiens)"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00017964","unknown function"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00019337","unknown function"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00019340","LanB1: Laminin subunit beta-1 (Drosophila melanogaster)"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00012973","Trim23: E3 ubiquitin-protein ligase TRIM23 (Mus musculus)"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00023871","pcnx4: Pecanex-like protein 4 (Xenopus laevis)"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00007348","unknown function"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00005191","ZMYND12: Zinc finger MYND domain-containing protein 12 (Homo sapiens)"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00002554","KLHL4: Kelch-like protein 4 (Homo sapiens)"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00025487","unknown function"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00007826","egt-2: Hercynylcysteine sulfoxide lyase (Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987))"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00019096","RIBC2: RIB43A-like with coiled-coils protein 2 (Homo sapiens)"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00009441","ftt-2: 14-3-3-like protein 2 (Caenorhabditis elegans)"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00011708","unknown function"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00015455","TOMM20: Mitochondrial import receptor subunit TOM20 homolog (Pongo abelii)"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00013800","rsph9: Radial spoke head protein 9 homolog (Danio rerio)"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00003566","Ide: Insulin-degrading enzyme (Rattus norvegicus)"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00019803","Rpn1: Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 (Mus musculus)"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00002721","LIN54: Protein lin-54 homolog (Pongo abelii)"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00013011","TMEM245: Transmembrane protein 245 (Bos taurus)"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00020365","ttc25: Tetratricopeptide repeat protein 25 (Danio rerio)"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00001642","unknown function"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00001681","ATP7B: Copper-transporting ATPase 2 (Homo sapiens)"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00011570","TCTE1: T-complex-associated testis-expressed protein 1 (Homo sapiens)"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00004117","unknown function"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00018127","HSPA5: 78 kDa glucose-regulated protein (Bos taurus)"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00015787","TDG: G/T mismatch-specific thymine DNA glycosylase (Homo sapiens)"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00014552","unknown function"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00015679","EYS: Protein eyes shut homolog (Homo sapiens)"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00022090","ZFYVE1: Zinc finger FYVE domain-containing protein 1 (Homo sapiens)"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00011227","Csde1: Cold shock domain-containing protein E1 (Mus musculus)"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00015758","MYC: Myc proto-oncogene protein (Hylobates lar)"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00025139","licD: Lipopolysaccharide cholinephosphotransferase LicD (Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd))"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00019195","CFAP77: Cilia- and flagella-associated protein 77 (Homo sapiens)"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00021219","C9orf172: Uncharacterized protein C9orf172 (Homo sapiens)"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00005047","AGRN: Agrin (Homo sapiens)"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00005027","Proser1: Proline and serine-rich protein 1 (Mus musculus)"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00010723","CCDC151: Coiled-coil domain-containing protein 151 (Bos taurus)"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00024567","unknown function"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00009953","unknown function"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00009027","unknown function"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00002860","drc7: Dynein regulatory complex subunit 7 (Xenopus tropicalis)"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00002942","DDX21: Nucleolar RNA helicase 2 (Homo sapiens)"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00009836","litaf: Lipopolysaccharide-induced tumor necrosis factor-alpha factor homolog (Danio rerio)"
"Wounded_1h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00015539","Mlc-c: Myosin-2 essential light chain (Drosophila melanogaster)"
"Wounded_1h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00011517","ADRB2: Beta-2 adrenergic receptor (Sus scrofa)"
"Wounded_1h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00003609","Mcat: Malonyl-CoA-acyl carrier protein transacylase%2C mitochondrial (Mus musculus)"
"Wounded_1h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00000078","unknown function"
"Wounded_1h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00021456","pax3-b: Paired box protein Pax-3-B (Xenopus laevis)"
"Wounded_1h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00014407","nas-15: Zinc metalloproteinase nas-15 (Caenorhabditis elegans)"
"Wounded_1h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00006804","unknown function"
"Wounded_1h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00008884","PDX2: Probable pyridoxal 5'-phosphate synthase subunit PDX2 (Arabidopsis thaliana)"
"Wounded_1h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00015600","unknown function"
"Wounded_1h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00006276","guaD: Guanine deaminase (Bacillus subtilis (strain 168))"
"Wounded_1h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00002352","unknown function"
"Wounded_1h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00002764","unknown function"
"Wounded_1h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00017490","ADAT1: tRNA-specific adenosine deaminase 1 (Gallus gallus)"
"Wounded_1h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00011252","oxt: Xylosyltransferase oxt (Drosophila pseudoobscura pseudoobscura)"
"Wounded_1h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00022815","FUBP1: Far upstream element-binding protein 1 (Homo sapiens)"
"Wounded_1h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00001857","CFAP45: Cilia- and flagella-associated protein 45 (Homo sapiens)"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00009300","CYP4B1: Cytochrome P450 4B1 (Homo sapiens)"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00018352","BAG3: BAG family molecular chaperone regulator 3 (Homo sapiens)"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00018223","DES1: Acyl-lipid (8-3)-desaturase (Mortierella alpina)"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00014806","Collagen alpha chain (Fragment) (Acropora millepora)"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00006657","btbd6: BTB/POZ domain-containing protein 6 (Xenopus laevis)"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00021474","STRADA: STE20-related kinase adapter protein alpha (Bos taurus)"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00008110","hgh1: Protein HGH1 homolog (Danio rerio)"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00018803","oxr1: Oxidation resistance protein 1 (Xenopus tropicalis)"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00018802","Uncharacterized skeletal organic matrix protein 7 (Acropora millepora)"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00025728","unknown function"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00019115","COMMD7: COMM domain-containing protein 7 (Bos taurus)"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00000381","NOS1: Nitric oxide synthase%2C brain (Oryctolagus cuniculus)"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00018686","unknown function"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00005746","unknown function"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00016509","CFAP70: Cilia- and flagella-associated protein 70 (Homo sapiens)"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00012035","L-asparaginase (Dirofilaria immitis)"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00025704","TTC28: Tetratricopeptide repeat protein 28 (Homo sapiens)"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00001532","unknown function"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00011897","Caltractin (Fragment) (Tetraselmis striata)"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00003436","unknown function"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00010667","unknown function"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00000720","unknown function"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00019791","DERL1: Derlin-1 (Homo sapiens)"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00015299","unknown function"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00003677","scra: Anillin (Drosophila melanogaster)"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00000687","unknown function"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00003826","Uncharacterized skeletal organic matrix protein 5 (Acropora millepora)"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00016363","Stk16: Serine/threonine-protein kinase 16 (Rattus norvegicus)"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00000051","unknown function"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00010096","surf1: Surfeit locus protein 1 (Xenopus tropicalis)"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00024838","TTC28: Tetratricopeptide repeat protein 28 (Homo sapiens)"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00011815","gghA: Gamma-glutamyl hydrolase A (Dictyostelium discoideum)"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00011080","March8: E3 ubiquitin-protein ligase MARCH8 (Mus musculus)"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00005634","Ta0103: Isopentenyl phosphate kinase (Thermoplasma acidophilum (strain ATCC 25905 / DSM 1728 / JCM 9062 / NBRC 15155 / AMRC-C165))"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00010183","MTMR10: Myotubularin-related protein 10 (Homo sapiens)"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00009553","KIAA0391: Mitochondrial ribonuclease P protein 3 (Homo sapiens)"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00020798","MAD2L2: Mitotic spindle assembly checkpoint protein MAD2B (Bos taurus)"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00019589","Pxdn: Peroxidasin homolog (Mus musculus)"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00006536","Slc25a29: Mitochondrial basic amino acids transporter (Rattus norvegicus)"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00006175","CACHD1: VWFA and cache domain-containing protein 1 (Homo sapiens)"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00025699","unknown function"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00004917","TCF15: Transcription factor 15 (Gallus gallus)"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00004901","DKK3: Dickkopf-related protein 3 (Gallus gallus)"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00004907","ADGRB3: Adhesion G protein-coupled receptor B3 (Homo sapiens)"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00024538","unknown function"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00009340","Asb13: Ankyrin repeat and SOCS box protein 13 (Mus musculus)"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00016190","Major yolk protein (Strongylocentrotus purpuratus)"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00010407","Sdhaf4: Succinate dehydrogenase assembly factor 4%2C mitochondrial (Mus musculus)"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00010329","unknown function"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00007745","Notch1: Neurogenic locus notch homolog protein 1 (Mus musculus)"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00014248","TADA2B: Transcriptional adapter 2-beta (Pongo abelii)"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00019561","chmp7: Charged multivesicular body protein 7 (Danio rerio)"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00002967","ptdss2: Phosphatidylserine synthase 2 (Danio rerio)"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00020504","unknown function"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00016070","Mfge8: Lactadherin (Mus musculus)"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00004183","unknown function"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00001021","unknown function"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00005161","unknown function"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00012280","ANGPTL7: Angiopoietin-related protein 7 (Homo sapiens)"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00007336","licD: Lipopolysaccharide cholinephosphotransferase LicD (Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd))"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00012814","unknown function"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00002553","B4galnt3: Beta-1%2C4-N-acetylgalactosaminyltransferase 3 (Mus musculus)"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00020400","Ints10: Integrator complex subunit 10 (Mus musculus)"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00004953","unknown function"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00021972","Grm2: Metabotropic glutamate receptor 2 (Mus musculus)"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00006732","NEU1: Sialidase-1 (Bos taurus)"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00007846","NDOR1: NADPH-dependent diflavin oxidoreductase 1 (Bos taurus)"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00019447","MAEA: Macrophage erythroblast attacher (Pongo abelii)"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00011378","Pabp2: Polyadenylate-binding protein 2 (Drosophila melanogaster)"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00011382","Fam210b: Protein FAM210B (Mus musculus)"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00009453","ABHD3: Phospholipase ABHD3 (Homo sapiens)"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00009220","POMGNT1: Protein O-linked-mannose beta-1%2C2-N-acetylglucosaminyltransferase 1 (Bos taurus)"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00009245","unknown function"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00001052","unknown function"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00003563","TMEM127: Transmembrane protein 127 (Homo sapiens)"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00010796","MKNK2: MAP kinase-interacting serine/threonine-protein kinase 2 (Homo sapiens)"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00021859","UPF0602 protein C4orf47 homolog (Xenopus laevis)"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00020569","unknown function"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00009783","unknown function"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00019315","Chid1: Chitinase domain-containing protein 1 (Rattus norvegicus)"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00010344","wnt8b: Protein Wnt-8b (Danio rerio)"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00001187","unknown function"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00001315","Enox1: Ecto-NOX disulfide-thiol exchanger 1 (Mus musculus)"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00017670","IMPA1: Inositol monophosphatase 1 (Pongo abelii)"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00025436","HMCN1: Hemicentin-1 (Homo sapiens)"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00010937","THNSL1: Threonine synthase-like 1 (Pongo abelii)"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00010943","unknown function"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00023756","unknown function"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00014185","unknown function"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00012727","unknown function"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00022549","unknown function"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00023805","Uncharacterized skeletal organic matrix protein 5 (Acropora millepora)"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00020766","Brf1: Transcription factor IIIB 90 kDa subunit (Mus musculus)"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00014338","PPIH: Peptidyl-prolyl cis-trans isomerase H (Homo sapiens)"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00002009","C9orf135: Uncharacterized protein C9orf135 (Homo sapiens)"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00023282","ago2: Protein argonaute-2 (Xenopus laevis)"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00016711","Nedd9: Enhancer of filamentation 1 (Mus musculus)"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00016713","Rpusd2: RNA pseudouridylate synthase domain-containing protein 2 (Mus musculus)"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00009925","PPP1R32: Protein phosphatase 1 regulatory subunit 32 (Homo sapiens)"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00009058","thbs1: Thrombospondin-1 (Xenopus laevis)"
"Wounded_2h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00020625","unknown function"
"Wounded_4h vs Control_4h ∩ Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00025949","unknown function"
"Wounded_4h vs Control_4h ∩ Wounded_1h vs Wounded_0h ∩ Wounded_4h vs Wounded_0h","pdam_00015293","DYNLRB2: Dynein light chain roadblock-type 2 (Bos taurus)"
